						証	骨	牙	塵	鎖	毒針	髄液	鉄杭	火薬		種	ﾗﾝﾀﾝ	八連	蛇玉	羽根	歯車	頁	ホム	蹄鉄	勲章	貝殻	勾玉	結氷	指輪	ｵｰﾛﾗ		爪	心臓	逆鱗	根	幼角	涙石	脂	ﾗﾝﾌﾟ	ｽｶﾗﾍﾞ	産毛	胆石	神酒		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂					肖像1	肖像2	未凸1	凸1	凸2	像1+凸1	像2+凸1	像1+凸2
	新宿	代々木二丁目	20	93								36.6																																代々木二丁目					38.7																			代々木二丁目																								代々木二丁目	735	"18,888"	"9,880"	785	835	749	808	882	858	908	932
	新宿	国道20号	20	356					29.8			42.1																																国道20号		10.1								12.5														国道20号																								国道20号	735	"18,888"	"9,880"	785	835	749	808	882	858	908	932
	新宿	新宿駅	21	5199								65.4																																新宿駅		20.2								24.3														新宿駅																								新宿駅	755	"20,056"	"10,140"	805	855	770	830	906	880	930	956
	新宿	新宿四丁目	21	1371								38.4																				19.9												新宿四丁目					24.1																		4.3	新宿四丁目																							5.3	新宿四丁目	755	"20,056"	"10,140"	805	855	770	830	906	880	930	956
	新宿	歌舞伎町	21	501					27.5												28.5																							歌舞伎町														36.7										歌舞伎町																								歌舞伎町	775	"21,256"	"10,400"	825	875	790	852	930	902	952	980
	新宿	バレルタワー	21	3532																	45.9																							バレルタワー														42.9										バレルタワー																								バレルタワー	775	"21,256"	"10,400"	825	875	790	852	930	902	952	980
	新宿	パーティ会場	21	467					27.2			27.4									22.1																							パーティ会場		13.6								9.5				11.7										パーティ会場																								パーティ会場	795	"22,488"	"10,660"	845	895	810	874	954	924	974	1004
	新宿	タワー最上階	21	737																	20.5														10									タワー最上階														24			4							タワー最上階																	6.9							タワー最上階	795	"22,488"	"10,660"	845	895	810	874	954	924	974	1004
	新宿	新宿御苑	21	10329								31.3																					12.4											新宿御苑					39.6																4.9			新宿御苑																					5.2			新宿御苑	815	"23,752"	"10,920"	865	915	831	896	978	946	996	1028
	新宿	新宿二丁目	21	5346																		30.8															19							新宿二丁目					7.9					8.2			18.7								3.1			新宿二丁目																		5.2						新宿二丁目	815	"23,752"	"10,920"	865	915	831	896	978	946	996	1028
	アガルタ	地底平原	20	2918				41.8																								21.1												地底平原				30.1																			5	地底平原																							4.8	地底平原	735	"18,888"	"9,880"	785	835	749	808	882	858	908	932
	アガルタ	野営地	20	96												30.6				14.3																24								野営地			32.7								16.3													野営地																			4.1					野営地	735	"18,888"	"9,880"	785	835	749	808	882	858	908	932
	アガルタ	川辺の町	20	560												35				23.4																								川辺の町	39.1								13.6								4.5							川辺の町																								川辺の町	735	"18,888"	"9,880"	785	835	749	808	882	858	908	932
	アガルタ	桃源郷	21	2750														40.1																										桃源郷							31.2								8.9								3	桃源郷																								桃源郷	755	"20,056"	"10,140"	805	855	770	830	906	880	930	956
	アガルタ	イース	21	286		35			33.9																																			イース				40.9																				イース																								イース	755	"20,056"	"10,140"	805	855	770	830	906	880	930	956
	アガルタ	北の断崖	21	317						39.7																												21.5						北の断崖														30.9										北の断崖																								北の断崖	755	"20,056"	"10,140"	805	855	770	830	906	880	930	956
	アガルタ	不夜城	21	253					32.4	35.2																																		不夜城														40.7										不夜城																								不夜城	775	"21,256"	"10,400"	825	875	790	852	930	902	952	980
	アガルタ	山裾の密林	21	1428				49.8								14.8				15.1																								山裾の密林		17.3		26.5						11.1		5.6												山裾の密林																								山裾の密林	775	"21,256"	"10,400"	825	875	790	852	930	902	952	980
	アガルタ	竜宮城	21	1447		30.6																																					12.7	竜宮城				27.2														4.8						竜宮城																		6.6						竜宮城	795	"22,488"	"10,660"	845	895	810	874	954	924	974	1004
	アガルタ	地底大河	21	2338												26				29.5																								地底大河		38.2									14								3.7					地底大河																								地底大河	795	"22,488"	"10,660"	845	895	810	874	954	924	974	1004
	アガルタ	エルドラド	21	51					23.5							31.4																												エルドラド	58.8																							エルドラド																								エルドラド	815	"23,752"	"10,920"	865	915	831	896	978	946	996	1028
	アガルタ	大地の裂け目	21	508															38.2																									大地の裂け目													50.1								3.7			大地の裂け目																					5.9			大地の裂け目	815	"23,752"	"10,920"	865	915	831	896	978	946	996	1028
	エリア	クエスト名	AP	サンプル数		銅素材										銀素材																金素材												クエスト名	輝石								魔石								秘石							クエスト名	ピース								モニュ								猛火							クエスト名	基本絆P	EXP	QP	肖像		ランチタイム			肖像+ランチタイム		
						証	骨	牙	塵	鎖	毒針	髄液	鉄杭	火薬		種	ﾗﾝﾀﾝ	八連	蛇玉	羽根	歯車	頁	ホム	蹄鉄	勲章	貝殻	勾玉	結氷	指輪	ｵｰﾛﾗ		爪	心臓	逆鱗	根	幼角	涙石	脂	ﾗﾝﾌﾟ	ｽｶﾗﾍﾞ	産毛	胆石	神酒		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂					肖像1	肖像2	未凸1	凸1	凸2	像1+凸1	像2+凸1	像1+凸2
	下総国	田んぼ	20	464												40.9	22																											田んぼ			19.5			34																		田んぼ																								田んぼ	735	"18,888"	"9,880"	785	835	749	808	882	858	908	932
	下総国	里	21	328					31.7							33.2											29																	里			17.3						21.3															里																	13.8							里	755	"20,056"	"10,140"	805	855	770	830	906	880	930	956
	下総国	庵	21	1100													27.2										24.8																	庵						40.5			22.2															庵																	21.8							庵	755	"20,056"	"10,140"	805	855	770	830	906	880	930	956
	下総国	城下町	21	2259																							39.6																	城下町									39															城下町																	38.8							城下町	775	"21,256"	"10,400"	825	875	790	852	930	902	952	980
	下総国	合戦場	21	8984			40.9		31																		24.9																	合戦場	25.1								15.1															合戦場																	14.9							合戦場	775	"21,256"	"10,400"	825	875	790	852	930	902	952	980
	下総国	土気城	21	992					28.6																		27.2																10	土気城									22.6										3.3					土気城																	28.4		4.2					土気城	795	"22,488"	"10,660"	845	895	810	874	954	924	974	1004
	下総国	裏山	21	4473					30.1									24.5									23.8																	裏山									25.8						7.9									裏山																	25.3						4.5	裏山	795	"22,488"	"10,660"	845	895	810	874	954	924	974	1004
	下総国	荒川の原	21	878					29.5																		21.8															12.2		荒川の原									25.7														4.8	荒川の原																	23.9						4.3	荒川の原	815	"23,752"	"10,920"	865	915	831	896	978	946	996	1028
	セイレム	静寂な森	20	176												47.7																												静寂な森				44.7																				静寂な森																								静寂な森	735	"18,888"	"9,880"	785	835	749	808	882	858	908	932
	セイレム	カーター家	20	6788									41.5																				11.8											カーター家														24.5							4.3			カーター家																					5.7	26.6		カーター家	735	"18,888"	"9,880"	785	835	749	808	882	858	908	932
	セイレム	公会堂	21	8966																36.1																								公会堂													35.2											公会堂																					35.8			公会堂	755	"20,056"	"10,140"	805	855	770	830	906	880	930	956
	セイレム	波止場	21	4627						42.2										20.3																								波止場						25.3							22											波止場																					18.5			波止場	755	"20,056"	"10,140"	805	855	770	830	906	880	930	956
	セイレム	ウェイトリー家	21	2351																			42.2																					ウェイトリー家			40.6								19.6													ウェイトリー家																			18.8					ウェイトリー家	775	"21,256"	"10,400"	825	875	790	852	930	902	952	980
	セイレム	郊外の屋敷	21	1180						43			39																															郊外の屋敷						24.7	21.9																	郊外の屋敷																								郊外の屋敷	775	"21,256"	"10,400"	825	875	790	852	930	902	952	980
	セイレム	ガローの丘	21	4874									69.9																															ガローの丘							36							15.3										ガローの丘																						14.4		ガローの丘	795	"22,488"	"10,660"	845	895	810	874	954	924	974	1004
	セイレム	牧草地	21	484									40.5			37.6																												牧草地				22.9			21.1																	牧草地																								牧草地	795	"22,488"	"10,660"	845	895	810	874	954	924	974	1004
	セイレム	空き家	21	3521									42.6							20.6																								空き家							23.9						14.9											空き家																					15.5			空き家	815	"23,752"	"10,920"	865	915	831	896	978	946	996	1028
	セイレム	隠れ家	21	326												50.3				16																								隠れ家				20.6									13.5											隠れ家																					12.9			隠れ家	815	"23,752"	"10,920"	865	915	831	896	978	946	996	1028
	セイレム	留置所	21	700				41																															19.7					留置所	38.4												8.5											留置所																					4.7			留置所	815	"23,752"	"10,920"	865	915	831	896	978	946	996	1028
	エリア	クエスト名	AP	サンプル数		銅素材										銀素材																金素材												クエスト名	輝石								魔石								秘石							クエスト名	ピース								モニュ								猛火							クエスト名	基本絆P	EXP	QP	肖像		ランチタイム			肖像+ランチタイム		
						証	骨	牙	塵	鎖	毒針	髄液	鉄杭	火薬		種	ﾗﾝﾀﾝ	八連	蛇玉	羽根	歯車	頁	ホム	蹄鉄	勲章	貝殻	勾玉	結氷	指輪	ｵｰﾛﾗ		爪	心臓	逆鱗	根	幼角	涙石	脂	ﾗﾝﾌﾟ	ｽｶﾗﾍﾞ	産毛	胆石	神酒		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂					肖像1	肖像2	未凸1	凸1	凸2	像1+凸1	像2+凸1	像1+凸2
	アナスタシア	アンカーポイント	20	96							39.6																									17.7								アンカーポイント			34.4								8.3													アンカーポイント																			8.3					アンカーポイント	735	"18,888"	"9,880"	785	835	749	808	882	858	908	932
	アナスタシア	ヤガ・スモレンスク	20	8301										65.4																														ヤガ・スモレンスク	22.8					22.1																		ヤガ・スモレンスク																								ヤガ・スモレンスク	735	"18,888"	"9,880"	785	835	749	808	882	858	908	932
	アナスタシア	風穴氷窟	20	2093							40.1															25.6																		風穴氷窟			25.2				19.3																	風穴氷窟																								風穴氷窟	735	"18,888"	"9,880"	785	835	749	808	882	858	908	932
	アナスタシア	叛逆軍の砦	21	122										40.2																						19.7								叛逆軍の砦	34.4										9.8													叛逆軍の砦																			9.1					叛逆軍の砦	755	"20,056"	"10,140"	805	855	770	830	906	880	930	956
	アナスタシア	ヤガ・スィチョーフカ	21	167										40.7		22.2																												ヤガ・スィチョーフカ		28.6													23.6									ヤガ・スィチョーフカ																								ヤガ・スィチョーフカ	755	"20,056"	"10,140"	805	855	770	830	906	880	930	956
	アナスタシア	焼き払われた村	21	4478										39.6												25.8																		焼き払われた村	25.2						18.8																	焼き払われた村																								焼き払われた村	755	"20,056"	"10,140"	805	855	770	830	906	880	930	956
	アナスタシア	ヤガ・ヴァジマ	21	1460							44.5			36.5																														ヤガ・ヴァジマ			19.2			20.8																		ヤガ・ヴァジマ																								ヤガ・ヴァジマ	775	"21,256"	"10,400"	825	875	790	852	930	902	952	980
	アナスタシア	ヤガ・ジェメンスク	21	71																								22.5								15.5								ヤガ・ジェメンスク											9.9			39.4										ヤガ・ジェメンスク																			10.8					ヤガ・ジェメンスク	775	"21,256"	"10,400"	825	875	790	852	930	902	952	980
	アナスタシア	ヤガ・トゥーラ	21	3550					29.8					29.9														22.1																ヤガ・トゥーラ		14												25.6										ヤガ・トゥーラ																								ヤガ・トゥーラ	775	"21,256"	"10,400"	825	875	790	852	930	902	952	980
	アナスタシア	潰れた村	21	1852																						25.3		26.2																潰れた村							20.7							26.7										潰れた村																								潰れた村	795	"22,488"	"10,660"	845	895	810	874	954	924	974	1004
	アナスタシア	ヤガ・モスクワ	21	3348																								45.9																ヤガ・モスクワ														44.9										ヤガ・モスクワ																								ヤガ・モスクワ	795	"22,488"	"10,660"	845	895	810	874	954	924	974	1004
	アナスタシア	大渓谷の砦	21	1804					29.8					31.2																													10.8	大渓谷の砦						27.4																5.2		大渓谷の砦																						4.6		大渓谷の砦	795	"22,488"	"10,660"	845	895	810	874	954	924	974	1004
	アナスタシア	大樹の根元	21	314					30.3		31.2																	17.8																大樹の根元														19.7										大樹の根元																								大樹の根元	815	"23,752"	"10,920"	865	915	831	896	978	946	996	1028
	アナスタシア	ヤガ・リャザン	21	3464																								26.5				21.9												ヤガ・リャザン														31.8									2.8	ヤガ・リャザン																							5.2	ヤガ・リャザン	815	"23,752"	"10,920"	865	915	831	896	978	946	996	1028
	ゲッテルデメルング	ランディングポイント	20	306					35							22.2																									11.4			ランディングポイント						51.6								9.8										ランディングポイント																						5.6		ランディングポイント	735	"18,888"	"9,880"	785	835	749	808	882	858	908	932
	ゲッテルデメルング	薄氷の丘	20	194												24.7													30.4															薄氷の丘						32.5									25.3									薄氷の丘																								薄氷の丘	735	"18,888"	"9,880"	785	835	749	808	882	858	908	932
	ゲッテルデメルング	巨人の花園	20	1354																									40.3															巨人の花園															45.2									巨人の花園																								巨人の花園	735	"18,888"	"9,880"	785	835	749	808	882	858	908	932
	ゲッテルデメルング	第23集落	21	148												31.8														24.3														第23集落						27						18.2												第23集落																								第23集落	755	"20,056"	"10,140"	805	855	770	830	906	880	930	956
	ゲッテルデメルング	英雄の穴倉	21	512														27											23.4															英雄の穴倉															32.4								3.7	英雄の穴倉																								英雄の穴倉	755	"20,056"	"10,140"	805	855	770	830	906	880	930	956
	ゲッテルデメルング	雪と氷の城	21	7115																										38.6														雪と氷の城												46.7												雪と氷の城																								雪と氷の城	775	"21,256"	"10,400"	825	875	790	852	930	902	952	980
	ゲッテルデメルング	果てへと至る道	21	312																									27.9												18.3			果てへと至る道														8	33.9									果てへと至る道																						5.4		果てへと至る道	775	"21,256"	"10,400"	825	875	790	852	930	902	952	980
	ゲッテルデメルング	炎の館	21	10454																									25.4	24.7														炎の館												24.3			20.6									炎の館																							20.2	炎の館	795	"22,488"	"10,660"	845	895	810	874	954	924	974	1004
	ゲッテルデメルング	第67集落	21	595																										22.7											17.3			第67集落												33.3		7.3										第67集落																						4.8		第67集落	795	"22,488"	"10,660"	845	895	810	874	954	924	974	1004
	ゲッテルデメルング	北の境界	21	491					33.4																				23.8															北の境界															45									北の境界																							16.9	北の境界	815	"23,752"	"10,920"	865	915	831	896	978	946	996	1028
	ゲッテルデメルング	忘れられた神殿	21	1551																										23.2					10.6									忘れられた神殿												36.6					3.8							忘れられた神殿																	5							忘れられた神殿	815	"23,752"	"10,920"	865	915	831	896	978	946	996	1028
																																																																																																							
																																																																																																							
																																																																																																							
	エリア	クエスト名	AP	サンプル数		銅素材										銀素材																金素材												クエスト名	輝石								魔石								秘石							クエスト名	ピース								モニュ								猛火							クエスト名	基本絆P	EXP	QP	肖像		ランチタイム			肖像+ランチタイム		
						証	骨	牙	塵	鎖	毒針	髄液	鉄杭	火薬		種	ﾗﾝﾀﾝ	八連	蛇玉	羽根	歯車	頁	ホム	蹄鉄	勲章	貝殻	勾玉	結氷	指輪	ｵｰﾛﾗ		爪	心臓	逆鱗	根	幼角	涙石	脂	ﾗﾝﾌﾟ	ｽｶﾗﾍﾞ	産毛	胆石	神酒		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂		剣	弓	槍	騎	術	殺	狂					肖像1	肖像2	未凸1	凸1	凸2	像1+凸1	像2+凸1	像1+凸2
																																																																																																							
																																																																																																							
																																																																																																							
																																																																																																							
																																																																																																							
																																																																																																							
																																																																																																							
																																																																																																							
	HOME																																																																																																						
Published by Google Sheets–檢舉濫用情形–每 5 分鐘自動更新																																																																																																							
